Repository Name with Owner,Collaborators Count
robertkrimen/otto,3
mikepenz/Android-Iconics,2
lifthrasiir/rust-encoding,2
Mermade/oas-kit,7
lukeed/taskr,3
NervJS/nerv,22
AppFormer/uberfire,26
caolan/async,5
ctaggart/SourceLink,2
avantcredit/gql2ts,63
rtsao/create-universal-package,1
fimbullinter/wotan,1
eligrey/FileSaver.js,3
mockrunner/mockrunner,3
Smithay/wayland-rs,4
projectfluent/fluent.js,8
ag-grid/ag-grid,11
antoyo/relm,1
go-redis/redis,3
dthree/cash,3
WeAreGenki/minna-ui,2
facebookarchive/nuclide,16
negativetwelve/react-x,1
steelbrain/pundle,1
domaindrivendev/Swashbuckle.AspNetCore,1
node-serialport/utilities,7
tdeekens/flopflip,1
stimulusjs/stimulus,5
stepancheg/rust-protobuf,1
VirtoCommerce/vc-platform,85
jaredpalmer/razzle,5
mishoo/UglifyJS2,3
Eonasdan/bootstrap-datetimepicker,3
aduth/tannin,1
sfackler/rust-phf,2
labstack/gommon,2
MurhafSousli/ngx-progressbar,1
chai2010/gettext-go,1
SheetJS/js-xlsx,4
exonum/exonum,41
serde-deprecated/syntex,2
almasaeed2010/AdminLTE,7
ethers-io/ethers.js,2
zxing/zxing,1
JeremySkinner/FluentValidation,1
egoist/poi,2
huonw/primal,3
luberda-molinet/FFImageLoading,5
snoyberg/mono-traversable,5
guigrpa/storyboard,1
ymnk/jsch-agent-proxy,1
sdroege/gstreamer-sys,2
sdroege/gstreamer-rs,2
graphile/graphile-engine,4
mattleibow/square-bindings,1
brendanhay/amazonka,3
benmosher/eslint-plugin-import,3
neon-bindings/neon,4
armon/go-metrics,7
sirupsen/logrus,10
jnunemaker/flipper,7
akavel/rsrc,2
nical/lyon,1
aitboudad/ngx-loading-bar,2
omrilotan/mono,2
DataTables/DataTables,1
jbaranda/nupkg-selenium-webdrivers,1
feuerbach/tasty,2
domaindrivendev/rswag,2
snoyberg/conduit,2
dsnet/compress,1
andrewplummer/Sugar,1
scottjehl/Respond,8
monadfix/microlens,9
mysticatea/npm-run-all,1
AviVahl/ts-tools,1
justdmitry/BootstrapMvc,1
DanielKeep/rust-custom-derive,1
necolas/normalize.css,1
jinzhu/gorm,4
domchristie/turndown,3
stepancheg/rust-tls-api,1
jedisct1/libsodium.js,1
ninjaframework/ninja,3
Zaid-Ajaj/Fable.Remoting,2
kunalgolani/eslint-config,2
pest-parser/pest,6
dcuddeback/serial-rs,1
RobinHerbots/Inputmask,1
thielj/MetroFramework,1
koute/stdweb,1
rochal/jQuery-slimScroll,1
philmander/browser-bunyan,1
router5/router5,4
vsch/flexmark-java,1
iamcal/emoji-data,1
pshrmn/hickory,1
rtyley/spongycastle,1
ulikunitz/xz,1
denverdino/aliyungo,12
SergioBenitez/Rocket,2
SebastianM/angular-google-maps,5
thr-consulting/thr-addons,4
jamesagnew/hapi-fhir,24
ianstormtaylor/slate-plugins,1
AArnott/pinvoke,3
danburkert/prost,1
jquense/react-widgets,1
Peakfijn/Conventions,3
mapsforge/mapsforge,4
OnsenUI/OnsenUI,12
haf/expecto,3
picoe/Eto,1
Prettyhtml/prettyhtml,3
lalrpop/lalrpop,5
rhuss/jolokia,1
Galooshi/happo,4
unitycontainer/unity,6
ratson/concise-style,1
haskell-gi/haskell-gi,5
boopathi/react-svg-loader,1
StephenCleary/AsyncEx,1
bluejekyll/trust-dns,1
Topshelf/Topshelf,3
blueimp/jQuery-File-Upload,1
Taritsyn/JavaScriptEngineSwitcher,1
Arello-Mobile/Moxy,6
indutny/asn1.js,1
TerribleDev/OwinOAuthProviders,1
igorescobar/jQuery-Mask-Plugin,2
klauspost/compress,1
jaredLunde/render-props,1
pulyaevskiy/node-interop,1
SitecoreUnicorn/Rainbow,2
develar/7zip-bin,1
zaach/jsonlint,1
inikulin/parse5,2
useless-stuff/serverless-local-proxy,
funfix/funfix,1
lib/pq,8
laat/mvn-dl,2
nikku/karma-browserify,2
leleuj/pac4j,1
kylelemons/godebug,2
makeusabrew/bootbox,3
trentm/node-bunyan,2
MurhafSousli/ngx-sharebuttons,2
highsource/jaxb2-basics,1
nhaarman/mockito-kotlin,1
emicklei/go-restful,1
nathancahill/split,4
inexorabletash/text-encoding,1
simov/grant,1
Noviny/codesandboxer,6
kelektiv/node-uuid,4
NodeRT/NodeRT,4
isteven/angular-multi-select,1
leongersen/noUiSlider,1
evanw/node-source-map-support,6
JakeWharton/butterknife,1
nhnent/tui.color-picker,10
snoyberg/http-client,3
tony19/logback-android,1
maoberlehner/node-sass-magic-importer,1
tuchk4/rockey,1
liquibase/liquibase,4
IonDen/ion.rangeSlider,1
lukeed/polka,1
lukeapage/pngjs,1
lukas-krecan/JsonUnit,2
skvark/opencv-python,1
LouisBrunner/dnd-multi-backend,1
lipis/flag-icon-css,2
ugorji/go,1
JesusFreke/smali,1
lorenzofox3/Smart-Table,3
lore/lore,4
Keboo/ShowMeTheXAML,1
errai/errai,11
apache-superset/superset-ui,14
kartik-v/bootstrap-fileinput,1
erikflowers/weather-icons,2
umeng/mvn-repo-umeng,6
kartik-v/php-date-formatter,1
ichord/At.js,1
ia0/data-encoding,1
vuikit/vuikit,2
undertow-io/undertow,5
ngaut/tso,126
lightbody/browsermob-proxy,3
maartenba/MvcSiteMapProvider,2
tunnelvisionlabs/antlr4cs,2
emojione/emojione,6
vakata/jstree,1
tweenjs/tween.js,4
necolas/react-native-web,1
needim/noty,2
MaterialDesignInXAML/MaterialDesignInXamlToolkit,3
facebookgo/grace,15
kenglxn/QRGen,1
Shazwazza/ClientDependency,1
DataTables/Dist-DataTables-Responsive,1
DataTables/Dist-DataTables-Select,1
japaric/criterion.rs,2
gomodule/redigo,3
morrisjs/morris.js,6
SimenB/eslint-config-simenb,1
mopedjs/moped,1
DaveWoodCom/XCGLogger,1
ahmadawais/create-guten-block,5
xdan/datetimepicker,1
mouse0270/bootstrap-notify,1
gotham-rs/gotham,3
kogosoftwarellc/open-api,1
janl/mustache.js,4
fgnass/spin.js,3
mccalltd/AttributeRouting,1
SergioBenitez/Devise,2
FezVrasta/popper.js,2
DataTables/Dist-DataTables-Bootstrap,1
DataTables/Dist-DataTables-Buttons,1
DataTables/Dist-DataTables-Buttons-Bootstrap,1
stevvooe/resumable,1
stoicflame/enunciate,1
fslaborg/XPlot,8
frontarm/navi,1
frontarm/mdx-util,1
structurizr/java,1
jashkenas/coffeescript,13
adinn/byteman,1
EsotericSoftware/kryo,3
jashkenas/underscore,9
Taritsyn/LibSassHost,1
tailhook/abstract-ns,1
TedDriggs/darling,1
tadija/AEXML,1
Templarian/MaterialDesign-Webfont,1
jdewit/bootstrap-timepicker,4
jackmoore/autosize,1
YousefED/typescript-json-schema,4
Gekkio/imgui-rs,2
martijn00/LottieXamarin,3
wwadge/bonecp,1
spf13/afero,5
gyscos/zstd-rs,1
FubarDevelopment/restsharp.portable,1
alexk111/ngImgCrop,1
alexheretic/glyph-brush,1
hansihe/rustler,6
hammerjs/hammer.js,3
tinajs/mina-webpack,1
jOOQ/jOOQ,2
hackiftekhar/IQKeyboardManager,1
krzyzanowskim/CryptoSwift,2
RSuter/NSwag,1
alex-seville/blanket,1
mrdoob/three.js,9
fengyuanchen/cropper,1
thheller/shadow-cljs,2
ForbesLindesay/authentication,1
matthieua/WOW,2
graphql-java-kickstart/graphql-spring-boot,2
Rokt33r/remark-math,2
thomaspark/bootswatch,1
alexcrichton/git2-rs,15
guess-js/guess,7
alexcrichton/futures-await,3
QNJR-GROUP/EasyTransaction,4
virgo47/javasimon,1
alexcrichton/flate2-rs,2
jamesdbloom/mockserver,3
thorntail/thorntail,21
go4org/go4,2
leebyron/testcheck-js,1
dgrunwald/rust-cpython,2
dimsemenov/PhotoSwipe,1
shinnn/eslint-config,1
dimsemenov/Magnific-Popup,2
cloudendpoints/endpoints-management-java,19
carhartl/jquery-cookie,2
jonhue/notifications-rails,2
dr-js/dev-dep,
oliver-moran/jimp,7
Alamofire/Alamofire,3
scottjehl/picturefill,20
scottksmith95/LINQKit,3
beckchr/juel,1
jrtom/jung,2
seiyria/bootstrap-slider,3
rust-qt/cpp_to_rust,1
dtolnay/indoc,1
dnnsoftware/Dnn.Platform,14
piotrmurach/tty,1
bwaldvogel/mongo-java-server,1
3Hren/msgpack-rust,1
blueimp/JavaScript-Canvas-to-Blob,1
zamotany/react-slate,3
diegomura/react-pdf,1
rollbar/rollbar.js,21
davidstutz/bootstrap-multiselect,1
reasonml-old/bs-loader,3
sfackler/rust-openssl,3
christophehurpeau/pob,1
sfackler/rust-postgres,1
christophehurpeau/nightingale,1
jsevellec/cassandra-unit,2
dcodeteam/javascript,3
petkaantonov/bluebird,3
dmtrKovalenko/date-io,2
dcodeIO/bytebuffer.js,9
claviska/jquery-minicolors,1
bluss/arrayvec,2
rrnewton/haskell-lockfree,11
oleg-shilo/cs-script,1
choffmeister/roboto-fontface-bower,1
asonix/activitystreams,1
assert-rs/predicates-rs,7
djc/askama,1
codenvy/everrest,2
openiddict/openiddict-core,6
oysteinkrog/SQLite.Net-PCL,1
jxnblk/styled-system,2
boombuler/barcode,1
Axosoft/nsfw,18
pquerna/otp,1
brendanzab/gl-rs,7
develar/fs-extra-p,1
reactivestack/cookies,1
codemirror/CodeMirror,3
pquerna/ffjson,4
paulirish/matchMedia.js,4
brandondahler/Data.HashFunction,2
rxaviers/cldrjs,1
cogciprocate/ocl,1
oliviertassinari/react-swipeable-views,2
bitinn/node-fetch,6
devtools-html/devtools-core,
deepsweet/hocs,1
rwcarlsen/goexif,2
jorgebucaran/colorette,1
bkeepers/qu,5
Amanieu/parking_lot,1
caskdata/tephra,26
timbod7/haskell-chart,2
rest-assured/rest-assured,1
gvaldambrini/storybook-router,1
gwatts/jquery.sparkline,1
martndemus/ember-font-awesome,6
gumlet/php-image-resize,1
maruel/panicparse,1
mastastealth/sass-flex-mixin,1
gustavohenke/toposort,2
danvk/dygraphs,11
dankogai/js-base64,1
gyandeeps/gruntify-eslint,1
revolunet/angular-carousel,3
PillowPillow/ng2-webstorage,1
PebbleTemplates/pebble,3
hansmaad/chartist-plugin-zoom,1
markdalgleish/stellar.js,1
hanklords/flickraw,2
tjanczuk/edge,4
Peternator7/strum,1
hammerjs/jquery.hammer.js,2
tj/connect-redis,3
tj/co,2
danburkert/lmdb-rs,1
daneden/animate.css,2
danfickle/openhtmltopdf,1
tj/axon,3
halostatue/minitar,3
dangrossman/daterangepicker,1
rendro/easy-pie-chart,2
PaulUithol/Backbone-relational,4
mariusGundersen/gulp-flatMap,1
marcj/css-element-queries,1
dalelotts/angular-bootstrap-datetimepicker,2
dalhorinek/koa-history-api-fallback,1
tobiasahlin/SpinKit,2
harryf/node-soupselect,1
marceljuenemann/angular-drag-and-drop-lists,1
OverZealous/run-sequence,1
daltoniam/Starscream,3
OwlCarousel2/OwlCarousel2,6
tmenier/Flurl,2
PHPCompatibility/PHPCompatibility,3
tmcw/happen,1
marcuswestin/store.js,1
tleunen/eslint-import-resolver-babel-module,1
tleunen/babel-plugin-module-resolver,2
Pajn/documittu,1
pixelcog/parallax.js,2
renchap/webpacker-react,1
danialfarid/ng-file-upload,1
rharter/auto-value-gson,2
piotrmurach/strings,1
danielgtaylor/aglio,9
marmelroy/PhoneNumberKit,3
hakimel/reveal.js,2
hakimel/Ladda,2
markushedvall/plantuml-encoder,1
markusslima/bootstrap-filestyle,1
daniel-nagy/md-data-table,1
marmelroy/Localize-Swift,2
marmelroy/Zip,6
piotrwitek/utility-types,1
danielgindi/Charts,5
piotrmurach/tty-spinner,1
pierrec/xxHash,1
nitin42/animate-components,1
maxmx/bootstrap-stylus,2
maxogden/extract-zip,2
pepyakin/wabt-rs,1
deckar01/task_list,3
maxogden/ndjson,2
maxs15/react-native-modalbox,1
Rich-Harris/magic-string,4
ded/R2,2
thecodeteam/goscaleio,10
broofa/node-mime,2
STRML/react-grid-layout,2
deep-cover/deep-cover,2
SVGKit/SVGKit,3
mbj/mutant,4
SamVerschueren/listr,1
SamVerschueren/listr-verbose-renderer,1
gotwarlost/istanbul,2
matttproud/golang_protobuf_extensions,1
Roemer/FlaUI,3
Rohfosho/CordovaCallNumberPlugin,3
petermetz/cordova-plugin-ibeacon,3
thenikso/angular-inview,1
Romakita/ts-express-decorators,18
maxhauser/semver,2
maxisam/ngx-clipboard,1
gpg-rs/libgpg-error,1
gpg-rs/gpgme,1
ddfreyne/adsf,1
ddliu/gulp-remote-src,1
bryanbraun/anchorjs,1
petar/GoLLRB,1
rotorz/markdown-it-block-embed,1
deadtrickster/ssl_verify_fun.erl,1
royriojas/eslint-friendly-formatter,1
brian3kb/graham_scan_js,1
rtfeldman/elm-css,9
brendanzab/codespan,3
rtfeldman/node-test-runner,9
rubenlagus/TelegramBots,2
tgdev/animate-sass,1
brandonroberts/angular-router-loader,1
texttheater/golang-levenshtein,1
bramstein/fontfaceobserver,1
rubenv/angular-gettext,3
rubiojr/go-vhd,2
desandro/doc-ready,1
desandro/eventie,1
desandro/get-size,1
brettwooldridge/HikariCP,2
rstaib/jquery-steps,1
brocaar/lorawan,1
rstacruz/nprogress,1
brix/crypto-js,1
brigade/scss-lint,2
rsms/js-lru,1
brigade/haml-lint,2
rspec-given/rspec-given,3
defunkt/jquery-pjax,2
brianreavis/sifter.js,2
brianreavis/microplugin.js,1
delba/Log,1
brianloveswords/dataurl,1
dcodeIO/long.js,1
thesabbir/simple-line-icons,3
rianjs/ical.net,12
gsklee/ngStorage,1
QingWei-Li/vue-markdown-loader,1
Qix-/color,3
pfalcon/micropython-lib,1
php-coveralls/php-coveralls,3
davecgh/go-spew,1
robbiehanson/CocoaAsyncSocket,3
castor-data-binding/castor,1
threepointone/glamor,4
PrismJS/prism,5
guillaumepotier/validator.js,6
guillaumepotier/Parsley.js,2
mathiasbynens/cssesc,1
mathiasbynens/jquery-placeholder,3
tid-kijyun/Kanna,1
PuerkitoBio/goquery,1
PuerkitoBio/urlesc,2
thysultan/stylis.js,1
calvinmetcalf/lie,1
dataarts/dat.gui,11
thoov/mock-socket,1
gregsdennis/Manatee.Trello,1
matthewhudson/current-device,1
thii/FontAwesome.swift,8
buberdds/angular-bootstrap-colorpicker,1
RealOrangeOne/react-native-mock,3
gregjones/httpcache,3
gregjacobs/Autolinker.js,2
greensock/GreenSock-JS,1
greenrobot/greenDAO,2
Redth/ZXing.Net.Mobile,1
dbushell/Nestable,1
thgreasi/babel-plugin-system-import-transformer,1
btmills/geopattern,2
grevory/angular-local-storage,6
mattboldt/typed.js,1
davidshimjs/qrcodejs,1
mattbryson/TouchSwipe-Jquery-Plugin,1
davewasmer/devcert,1
php-amqplib/php-amqplib,7
roberthein/TinyConstraints,1
photonstorm/phaser,4
pholser/junit-quickcheck,1
davidchambers/Base64.js,2
daviddrysdale/python-phonenumbers,1
davidjbradshaw/iframe-resizer,1
Rapptz/discord.py,3
gromo/jquery.scrollbar,1
castorflex/SmoothProgressBar,1
cies/htoml,1
unclecheese/silverstripe-display-logic,3
LZMA-JS/LZMA-JS,2
iShafayet/line-ending-corrector,1
lokesh/lightbox2,1
ulisesbocchio/jasypt-spring-boot,1
iamceege/tooltipster,3
radex/SwiftyUserDefaults,2
iconic/open-iconic,3
client9/misspell,1
raarts/expo-web,1
urish/ngx-moment,1
urish/angular-spinner,2
urish/angular-moment,1
llCorvinSll/Rotativa,1
ckknight/random-js,1
KoderLabs/ngx-device-detector,5
rafallopatka/ToastNotifications,1
classgraph/classgraph,1
ianmcodes/node-simple-spinner,1
ptomasroos/react-native-scrollable-tab-view,3
Lesilva/BetterSpinner,1
chriso/validator.js,2
tympanix/angular-table-resize,1
prettydiff/prettydiff,1
lukasoppermann/html5sortable,1
MangelMaxime/Fulma,2
hubotio/hubot-mock-adapter,6
Marak/faker.js,1
hubotio/hubot,7
lukeed/arr,1
lukeed/sirv,1
christophehurpeau/alp,1
christophehurpeau/babel-preset-optimizations,1
udos86/ng-dynamic-forms,2
cowboyd/therubyrhino,2
lox/xhprof,1
raphw/byte-buddy,1
cpuguy83/go-md2man,1
ls-age/eslint-config,1
uNmAnNeR/imaskjs,1
u01jmg3/ics-parser,1
craftworkgames/MonoGame.Extended,1
huntlabs/hunt,8
hunterhacker/jdom,2
typicode/lodash-id,1
KennethTsang/GrowingTextView,1
Keats/validator,1
litejs/natural-compare-lite,1
lettuce-io/lettuce-core,1
compodoc/compodoc,4
leventov/Koloboke,1
compodoc/ngd,3
JamieMason/expect-more,1
lfairy/maud,1
lgalfaso/angular-dynamic-locale,1
lgarron/clipboard-polyfill,1
pushtorefresh/storio,3
velesin/jasmine-jquery,2
liabru/jquery-match-height,1
liady/webpack-node-externals,1
liamcurry/gql,1
imsky/holder,1
JedWatson/classnames,2
JedWatson/react-codemirror,1
qiu8310/minapp,1
lettre/lettre,1
lessthanoptimal/BoofCV,2
leecade/react-native-swiper,11
insites/cookieconsent,5
inorganik/countUp.js,1
legacy-icons/famfamfam-flags,1
vincenthz/hs-certificate,1
lehins/massiv,2
JCMais/node-libcurl,1
colin-kiegel/rust-derive-builder,4
JWebUnit/jwebunit,1
codehaus-cargo/cargo,2
python-xlib/python-xlib,8
pvorb/node-md5,1
qTip2/qTip2,1
pvginkel/PdfiumBuild,1
viccalexander/Chameleon,4
compass-rs/sass-rs,4
qiao/PathFinding.js,2
code4craft/webmagic,7
cmrd-senya/markdown-it-html5-embed,1
quicktype/quicktype,5
uzairfarooq/arrive,1
quilljs/quill,9
cloudinary/cloudinary_java,72
linkgod/SHA-1,1
KELiON/create-cerebro-plugin,1
lipangit/JiaoZiVideoPlayer,9
lipis/bootstrap-social,1
lindell/JsBarcode,2
imanghafoori1/laravel-terminator,1
JoanZapata/android-iconify,1
imakewebthings/waypoints,1
JohnAlbin/support-for,1
codahale/bcrypt-ruby,4
valyala/fasthttp,3
purplefox/vert.x,1
pleerock/ngx-modal,1
cenkalti/backoff,1
cenk/hub,1
Nickersoft/push.js,2
NicolasDorier/NicolasDorier.Tools,1
topojson/topojson,2
hector-client/hector,7
hcoles/pitest,2
hazzik/DelegateDecompiler,3
Nolanus/ngx-page-scroll,1
plentz/jquery-maskmoney,2
pleerock/ngx-tabs,1
cenkalti/rpc2,1
cglib/cglib,4
henry0312/pytest-codestyle,1
pmezard/go-difflib,1
NekR/offline-plugin,3
malcommac/SwiftDate,1
malcommac/SwiftRichString,1
cezheng/Fuzi,1
maleck13/readline,1
malept/rust-commoncrypto,1
center-key/fetch-json,4
malihu/malihu-custom-scrollbar-plugin,1
pleerock/ngx-popover,1
desandro/imagesloaded,2
tomaka/hlua,1
cbpowell/MarqueeLabel,1
dachev/node-cld,1
dagrejs/dagre,2
dagrejs/dagre-d3,2
dagrejs/graphlib,2
toji/gl-matrix,4
dai-shi/es-beautifier,1
pklauzinski/jscroll,1
dain/leveldb,4
ccampbell/mousetrap,1
haskell-hvr/uuid,3
reflux/refluxjs,4
tombigel/detect-zoom,2
cdmbase/cdm-logger,3
hashmismatch/packed_struct.rs,1
ccgus/fmdb,2
Ogeon/palette,2
ccampbell/rainbow,1
tomasAlabes/eve,1
Olegas/dom-compare,1
Olical/EventEmitter,1
tomakehurst/wiremock,4
mahnunchik/markerclustererplus,2
chjj/term.js,1
m4nuC/async-busboy,1
tunnelvisionlabs/antlr4ts,2
chieffancypants/angular-loading-bar,2
tunnckoCoreLabs/execa,2
reactions/component,1
mac-cain13/R.swift.Library,2
real-logic/aeron,7
MatAtBread/fast-async,2
lundegaard/react-union,10
twigjs/twig.js,8
praeclarum/sqlite-net,2
lviggiano/owner,1
MatthewYork/DateTools,5
pquerna/cachecontrol,2
hpneo/gmaps,3
tuupola/jquery_lazyload,1
lydell/resolve-url,1
lydell/source-map-url,1
turf-junkyard/turf-point,1
tungv/redux-api-call,3
MoOx/postcss-cssnext,4
MoZhouqi/KMNavigationBarTransition,1
troygoode/PagedList,1
Mockgoose/Mockgoose,4
mafintosh/protocol-buffers-schema,1
tristanhimmelman/ObjectMapper,1
triniti/schemas,17
Mottie/Keyboard,2
Mottie/tablesorter,9
MrRio/jsPDF,5
magento-research/pwa-studio,1808
trentrichardson/jQuery-Timepicker-Addon,1
MurhafSousli/ngx-gallery,1
chadly/Geocoding.net,1
magicismight/react-native-root-siblings,2
cyrilletuzi/angular-async-local-storage,1
madrobby/keymaster,1
maciejtreder/ng-toolkit,1
cuteant/CuteAnt.Extensions,1
MikeMcl/big.js,1
cutting-room-floor/documentation-theme-default,4
MikeMcl/bignumber.js,1
chancejs/chancejs,2
pomber/code-surfer,1
polytypic/infestines,7
dyu/protostuff,1
mxcl/OMGHTTPURLRQ,2
aloisdeniel/Microcharts,3
mxcl/PromiseKit,4
mxk/go-flowrate,1
mwouts/jupytext,1
alsatian-test/alsatian,4
alvarotrigo/fullPage.js,1
sorich87/bootstrap-tour,3
mysticatea/eslint-plugin,1
amazingSurge/jquery-asColor,
balysv/material-menu,1
facebookarchive/ios-snapshot-test-case,15
allenhwkim/angularjs-google-maps,2
dwolfhub/zxcvbn-python,1
sparksuite/simplemde-markdown-editor,2
bahmutov/eslint-rules,2
nullstyle/go-xdr,1
amazingSurge/jquery-asGradient,
amcharts/amcharts3,4
evilstreak/markdown-js,2
andreruffert/rangeslider.js,1
evgenyneu/keychain-swift,2
snuk182/nuklear-rust,1
andyearnshaw/Intl.js,4
snowplow-referer-parser/referer-parser,12
angel-dart/serialize,1
nativescript-vue/nativescript-vue,6
naoina/toml,2
soffes/SAMKeychain,3
amcharts/amcharts4,4
eapache/go-resiliency,1
mzohaibqc/antd-theme-webpack-plugin,1
sentsin/layui,2
aml-org/amf,31
nDmitry/grunt-autoprefixer,1
sergeyshushlyapin/Sitecore.FakeDb,
nakupanda/bootstrap3-dialog,1
sergi/go-diff,2
amsul/pickadate.js,4
serhiisol/node-decorators,1
naitoh/rbpdf,1
easymock/easymock,2
exonum/exonum_sodiumoxide,41
exonum/exonum_rocksdb,41
aybe/Windows-API-Code-Pack-1.1,1
douglascrockford/JSON-js,1
before/uadetector,6
dpkp/kafka-python,11
beautify-web/js-beautify,4
alexbeletsky/elmah-mvc,3
scravy/node-macaddress,1
mscdex/socksv5,1
oitozero/ngSweetAlert,1
fede1024/rust-rdkafka,2
alexcrack/angular-ui-notification,1
alexcrichton/backtrace-rs,19
alexcrichton/brotli2-rs,2
alexcrichton/bzip2-rs,1
alexcrichton/cc-rs,1
scrollreveal/scrollreveal,1
alexcrichton/curl-rust,4
scrumpy/tiptap,3
ogaclejapan/SmartTabLayout,1
alertifyjs/alertify.js,4
alecthomas/template,1
dtolnay/syn,3
onevcat/Kingfisher,2
benjycui/jsonml-to-react-element,1
schneems/derailed_benchmarks,2
benjamn/reify,1
omuleanu/ValueInjecter,1
omichelsen/angular-clipboard,1
felixge/node-combined-stream,5
olstenlarck/function-arguments,
scinfu/SwiftSoup,2
alangpierce/sucrase,1
fengyuanchen/datepicker,1
scott-xu/EntityFramework.Testing,1
felixge/node-stack-trace,5
drmohundro/SWXMLHash,1
mseemann/angular2-mdl-ext,4
farbelous/bootstrap-colorpicker,6
basvandenberg/ng-select,1
bastibe/SoundFile,1
ds300/patch-package,1
bassjobsen/Bootstrap-3-Typeahead,1
alexstanbury/chartist-plugin-axistitle,1
oblador/angular-scroll,1
spf13/jWalterWeatherman,2
spf13/cobra,11
alferov/angular-file-saver,1
bartdag/py4j,1
spdy-http2/spdy-transport,4
octplane/fsevent-rust,1
spdy-http2/node-spdy,4
sebastienros/jint,2
fancyapps/fancybox,1
faisalman/ua-parser-js,1
dtolnay/mashup,1
dtolnay/proc-macro-hack,1
ocombe/ocLazyLoad,3
baumandm/angular-numeraljs,2
alexcrichton/ssh2-rs,2
drudru/ansi_up,1
alexcrichton/xz2-rs,1
fb55/htmlparser2,3
searls/jasmine-fixture,3
alexei/sprintf.js,1
msiemens/tinydb,1
msn0/mdn-polyfills,1
fb55/css-what,1
fb55/css-select,4
faye/faye,2
novus/nvd3,11
benpickles/peity,1
elazarl/go-bindata-assetfs,2
shlomiassaf/ngx-modialog,1
epeli/underscore.string,5
node-base/base-option,
enyo/dropzone,1
neuecc/MessagePack-CSharp,2
neuecc/ZeroFormatter,1
entwicklerstube/babel-plugin-root-import,2
sindresorhus/object-assign,8
electricjs/electric,10
appbaseio/reactivesearch,7
sindresorhus/is,5
endroid/qr-code,1
sindresorhus/import-local,3
sindresorhus/import-lazy,6
aterrien/jQuery-Knob,4
shramov/leaflet-plugins,2
nesk/rialto,1
eirslett/frontend-maven-plugin,2
shinnn/rmfr,1
nervgh/angular-file-upload,7
erickt/rust-zmq,5
ericf/express-handlebars,2
netplex/json-smart-v2,1
sindresorhus/screenfull.js,6
epoberezkin/ajv,2
sindresorhus/grunt-eslint,6
simonmar/monad-par,4
nkt/babel-plugin-react-remove-prop-types,1
nkbt/react-works,2
eligrey/Blob.js,2
simonbengtsson/jsPDF-AutoTable,1
simogeo/geostats,1
niftylettuce/frisbee,4
ashleymills/Reachability.swift,2
niklasvh/html2canvas,1
asafdav/ng-csv,2
ninenines/cowboy,1
ashleydw/lightbox,1
ninjaprox/NVActivityIndicatorView,1
ninjatronic/angular-base64,1
sinaweibosdk/weibo_ios_sdk,4
nmccready/angular-simple-logger,1
emmetio/markup-formatters,1
emmerich/flot-orderBars,1
ngryman/raf.js,1
arc-repos/architect,
sindresorhus/eslint-plugin-unicorn,6
sindresorhus/electron-store,3
sindresorhus/dot-prop,7
ngx-translate/core,5
sindresorhus/decompress-response,6
nhnent/tui.chart,10
nhnent/tui.code-snippet,10
aritchie/userdialogs,1
ncuillery/angular-breadcrumb,1
nolimits4web/swiper,1
smalot/bootstrap-datetimepicker,2
ncw/swift,5
sliptree/bootstrap-tokenfield,3
